mouse,diet,sex,solution1,solution2,endcol
FT106,nr,male,casein,casein,
FT112,pr,male,casein,water,
FT118,nr,male,casein,casein,
FT120,pr,male,casein,casein,
FT126,pr,male,casein,casein,
FT136,pr,male,casein,water,
FT127,nr,male,casein,water,
FT133,nr,male,casein,water,
