,Difference score
Ventromedial hypothalamic nucleus,-0.6462827746288915
"Medial geniculate complex, dorsal part",-0.644265024656923
Field CA1,-0.6340794892512284
Anterior pretectal nucleus,-0.6286507236231715
"Anterolateral visual area, layer 6b",-0.6275535166619594
"anterior commissure, olfactory limb",-0.6267127780755717
"Prelimbic area, layer 2/3",-0.6229816392349845
"posteromedial visual area, layer 2/3",-0.6221435559378526
"Cortical amygdalar area, anterior part",-0.6211806045406181
Ventral part of the lateral geniculate complex,-0.6207886382988312
Ventral anterior-lateral complex of the thalamus,-0.6178072121568579
"Anterolateral visual area, layer 4",-0.6165530260028669
Medial preoptic nucleus,-0.6163215193006636
columns of the fornix,-0.6080403079050045
Parabigeminal nucleus,-0.6043278739351057
Nucleus of Darkschewitsch,-0.5992021321908478
sensory root of the trigeminal nerve,-0.5948517253041596
"Secondary motor area, layer 6b",-0.5939875920642519
Ventral medial nucleus of the thalamus,-0.5928330001912476
Median eminence,-0.5917878551047564
"posteromedial visual area, layer 4",-0.5896073075029009
"Periventricular hypothalamic nucleus, anterior part",-0.5895954047247542
Retroparafascicular nucleus,-0.5878389570412235
Mediodorsal nucleus of thalamus,-0.5843441770164204
superior cerebelar peduncles,-0.5796832663513206
"corpus callosum, body",-0.5783477176001114
"Primary visual area, layer 2/3",-0.5744325550202476
genu of corpus callosum,-0.5738228714548503
Lobules IV-V,-0.5717045790924254
alveus,-0.5683790420091761
"Anterior cingulate area, ventral part, 6b",-0.5643151243234802
"Dorsal part of the lateral geniculate complex, shell",-0.5632737351005725
Preparasubthalamic nucleus,-0.5617029151828816
Fields of Forel,-0.5615595067061003
"Temporal association areas, layer 6b",-0.547517546013166
Magnocellular nucleus,-0.5459322553079381
"Medial mammillary nucleus, posterior part",-0.5448253825605582
Paratrochlear nucleus,-0.5405186857868995
Postsubiculum,-0.5369422312190577
"Retrosplenial area, ventral part, layer 6b",-0.5244130814625177
"Central amygdalar nucleus, medial part",-0.523831909185466
"Primary visual area, layer 6b",-0.519031710087877
Hypothalamus,-0.5171768272398831
supra-callosal cerebral white matter,-0.515610169566932
"Primary auditory area, layer 5",-0.5144810521151808
cingulum bundle,-0.5141446591215251
Lateral terminal nucleus of the accessory optic tract,-0.5050351272527426
Interanterodorsal nucleus of the thalamus,-0.5043549843025916
"Medial mammillary nucleus, medial part",-0.5036075881726354
Posterior complex of the thalamus,-0.48934404852614466
Oculomotor nucleus,-0.48518851830088183
Anterodorsal preoptic nucleus,-0.4849840221536112
Lateral posterior nucleus of the thalamus,-0.4842203534731399
Posterior intralaminar thalamic nucleus,-0.4794423599088413
Lateral mammillary nucleus,-0.4788060044227924
"Medial geniculate complex, ventral part",-0.4781619863751566
"Agranular insular area, posterior part, layer 6a",-0.47769430985204697
"Agranular insular area, dorsal part, layer 2/3",-0.4738851833051837
"Primary auditory area, layer 1",-0.47115580056443634
"Prelimbic area, layer 6b",-0.4710211409035153
optic radiation,-0.4673275512210412
Substantia innominata,-0.46664158827605073
Ventral posterolateral nucleus of the thalamus,-0.46500735799974435
Parabrachial nucleus,-0.46253187025020903
Bed nucleus of the accessory olfactory tract,-0.45402080309387427
"Tuberomammillary nucleus, ventral part",-0.45086850036210324
"Anterior cingulate area, ventral part, layer 5",-0.4504408942377349
"Gustatory areas, layer 1",-0.4465157343308891
mammillothalamic tract,-0.4463000933018859
Dorsal nucleus raphe,-0.4435018329029364
"corpus callosum, extreme capsule",-0.43964494195611165
Parvicellular motor 5 nucleus,-0.43716547862715144
medial corticohypothalamic tract,-0.4319017423883611
"Agranular insular area, ventral part, layer 1",-0.42978891797272134
internal capsule,-0.42909122923790666
"Lateral septal nucleus, rostral (rostroventral) part",-0.4249489762454768
Laterodorsal tegmental nucleus,-0.4194317026730432
Anteroventral nucleus of thalamus,-0.414819956245698
Red nucleus,-0.414095822010553
Midbrain reticular nucleus,-0.4125114330748998
external medullary lamina of the thalamus,-0.41205982848949146
Arcuate hypothalamic nucleus,-0.4072291502442115
"Infralimbic area, layer 5",-0.4045965940950741
"Ventral auditory area, layer 5",-0.39593676376659004
"Agranular insular area, dorsal part, layer 5",-0.39147714744223516
"Primary somatosensory area, mouth, layer 6a",-0.38916395524678365
"Agranular insular area, dorsal part, layer 6b",-0.385782301019411
Tuberal nucleus,-0.38574457061665945
"Agranular insular area, posterior part, layer 6b",-0.3848769440856773
"Primary somatosensory area, nose, layer 5",-0.3843096883324379
"Dorsal auditory area, layer 1",-0.38355361104735
Nucleus of the lateral lemniscus,-0.37998688120913826
Induseum griseum,-0.37924838587061804
"Dorsal auditory area, layer 5",-0.37445157611616336
"Gustatory areas, layer 6a",-0.3694582753127498
Pallidum,-0.36945591087014995
"Posterior auditory area, layer 6a",-0.36458823226201187
