Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
1038;Primary somatosensory area, barrel field, layer 6a;1950723;1950722.501343;pixels;210;23848;23848;pixels;0.012225;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;218039;218038.635300;pixels;24;2573;2573;pixels;0.011801;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149222;Rostrolateral lateral visual area, layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149226;Rostrolateral lateral visual area, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
337;Primary somatosensory area, lower limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1030;Primary somatosensory area, lower limb, layer 1;393622;393621.967453;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
113;Primary somatosensory area, lower limb, layer 2/3;887608;887608.231277;pixels;17;1680;1680;pixels;0.001893;;;;;;;;;;;;;;
1094;Primary somatosensory area, lower limb, layer 4;398782;398782.158859;pixels;21;2196;2196;pixels;0.005507;;;;;;;;;;;;;;
1128;Primary somatosensory area, lower limb, layer 5;812910;812910.267593;pixels;87;10103;10103;pixels;0.012428;;;;;;;;;;;;;;
478;Primary somatosensory area, lower limb, layer 6a;789102;789101.673141;pixels;90;10963;10963;pixels;0.013893;;;;;;;;;;;;;;
