Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
1038;Primary somatosensory area, barrel field, layer 6a;2165503;2165502.921310;pixels;864;39562;39562;pixels;0.018269;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;239954;239953.868683;pixels;51;2395;2395;pixels;0.009981;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149222;Rostrolateral lateral visual area, layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149226;Rostrolateral lateral visual area, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
337;Primary somatosensory area, lower limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1030;Primary somatosensory area, lower limb, layer 1;520752;520751.586578;pixels;31;1536;1536;pixels;0.002950;;;;;;;;;;;;;;
113;Primary somatosensory area, lower limb, layer 2/3;1173189;1173189.009201;pixels;207;8571;8571;pixels;0.007306;;;;;;;;;;;;;;
1094;Primary somatosensory area, lower limb, layer 4;506776;506776.410980;pixels;69;2666;2666;pixels;0.005261;;;;;;;;;;;;;;
1128;Primary somatosensory area, lower limb, layer 5;985294;985294.035538;pixels;127;5853;5853;pixels;0.005940;;;;;;;;;;;;;;
478;Primary somatosensory area, lower limb, layer 6a;950428;950428.494812;pixels;188;8029;8029;pixels;0.008448;;;;;;;;;;;;;;
510;Primary somatosensory area, lower limb, layer 6b;87249;87248.545578;pixels;16;733;733;pixels;0.008401;;;;;;;;;;;;;;
345;Primary somatosensory area, mouth;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
878;Primary somatosensory area, mouth, layer 1;1013712;1013712.109756;pixels;5;181;181;pixels;0.000179;;;;;;;;;;;;;;
657;Primary somatosensory area, mouth, layer 2/3;2097912;2097912.304764;pixels;34;1144;1144;pixels;0.000545;;;;;;;;;;;;;;
950;Primary somatosensory area, mouth, layer 4;1445908;1445907.828217;pixels;22;622;622;pixels;0.000430;;;;;;;;;;;;;;
974;Primary somatosensory area, mouth, layer 5;1928257;1928257.379486;pixels;7;234;234;pixels;0.000121;;;;;;;;;;;;;;
1102;Primary somatosensory area, mouth, layer 6a;2436505;2436505.055649;pixels;35;1211;1211;pixels;0.000497;;;;;;;;;;;;;;
2;Primary somatosensory area, mouth, layer 6b;167830;167830.378036;pixels;2;87;87;pixels;0.000518;;;;;;;;;;;;;;
369;Primary somatosensory area, upper limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
450;Primary somatosensory area, upper limb, layer 1;692822;692821.997101;pixels;47;2089;2089;pixels;0.003015;;;;;;;;;;;;;;
854;Primary somatosensory area, upper limb, layer 2/3;1544282;1544282.419998;pixels;186;6958;6958;pixels;0.004506;;;;;;;;;;;;;;
577;Primary somatosensory area, upper limb, layer 4;865826;865826.388184;pixels;39;1330;1330;pixels;0.001536;;;;;;;;;;;;;;
625;Primary somatosensory area, upper limb, layer 5;1336020;1336020.174164;pixels;69;2544;2544;pixels;0.001904;;;;;;;;;;;;;;
945;Primary somatosensory area, upper limb, layer 6a;1627981;1627981.404312;pixels;98;4011;4011;pixels;0.002464;;;;;;;;;;;;;;
1026;Primary somatosensory area, upper limb, layer 6b;125504;125503.743454;pixels;9;401;401;pixels;0.003195;;;;;;;;;;;;;;
361;Primary somatosensory area, trunk;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1006;Primary somatosensory area, trunk, layer 1;313812;313812.052322;pixels;19;994;994;pixels;0.003168;;;;;;;;;;;;;;
670;Primary somatosensory area, trunk, layer 2/3;685329;685328.707108;pixels;350;17282;17282;pixels;0.025217;;;;;;;;;;;;;;
1086;Primary somatosensory area, trunk, layer 4;267252;267251.918533;pixels;132;5948;5948;pixels;0.022256;;;;;;;;;;;;;;
1111;Primary somatosensory area, trunk, layer 5;619584;619584.094574;pixels;236;10833;10833;pixels;0.017484;;;;;;;;;;;;;;
9;Primary somatosensory area, trunk, layer 6a;454170;454170.459335;pixels;199;8995;8995;pixels;0.019805;;;;;;;;;;;;;;
