Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;246150;246149.925415;pixels;1;63;63;pixels;0.000256;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149222;Rostrolateral lateral visual area, layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149226;Rostrolateral lateral visual area, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
337;Primary somatosensory area, lower limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1030;Primary somatosensory area, lower limb, layer 1;366002;366001.552826;pixels;1;35;35;pixels;0.000096;;;;;;;;;;;;;;
113;Primary somatosensory area, lower limb, layer 2/3;835300;835300.054398;pixels;4;212;212;pixels;0.000254;;;;;;;;;;;;;;
1094;Primary somatosensory area, lower limb, layer 4;381080;381080.091583;pixels;4;151;151;pixels;0.000396;;;;;;;;;;;;;;
1128;Primary somatosensory area, lower limb, layer 5;772096;772095.634903;pixels;4;206;206;pixels;0.000267;;;;;;;;;;;;;;
478;Primary somatosensory area, lower limb, layer 6a;755130;755129.968506;pixels;12;429;429;pixels;0.000568;;;;;;;;;;;;;;
510;Primary somatosensory area, lower limb, layer 6b;74287;74286.861710;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
345;Primary somatosensory area, mouth;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
878;Primary somatosensory area, mouth, layer 1;897341;897340.658249;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
657;Primary somatosensory area, mouth, layer 2/3;1775486;1775486.352936;pixels;3;127;127;pixels;0.000072;;;;;;;;;;;;;;
950;Primary somatosensory area, mouth, layer 4;1181703;1181703.056763;pixels;1;27;27;pixels;0.000023;;;;;;;;;;;;;;
974;Primary somatosensory area, mouth, layer 5;1617090;1617089.960373;pixels;1;25;25;pixels;0.000015;;;;;;;;;;;;;;
1102;Primary somatosensory area, mouth, layer 6a;2271196;2271195.762329;pixels;11;410;410;pixels;0.000181;;;;;;;;;;;;;;
2;Primary somatosensory area, mouth, layer 6b;162074;162073.570129;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
369;Primary somatosensory area, upper limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
450;Primary somatosensory area, upper limb, layer 1;623833;623833.381470;pixels;1;66;66;pixels;0.000106;;;;;;;;;;;;;;
854;Primary somatosensory area, upper limb, layer 2/3;1380676;1380676.270126;pixels;8;284;284;pixels;0.000206;;;;;;;;;;;;;;
577;Primary somatosensory area, upper limb, layer 4;745004;745003.619354;pixels;4;98;98;pixels;0.000132;;;;;;;;;;;;;;
625;Primary somatosensory area, upper limb, layer 5;1123899;1123898.878616;pixels;4;117;117;pixels;0.000104;;;;;;;;;;;;;;
945;Primary somatosensory area, upper limb, layer 6a;1321972;1321972.126511;pixels;12;454;454;pixels;0.000343;;;;;;;;;;;;;;
