region,diet,infusion2,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
arcuate,NR,casein,25046.727272727272,4.681818181818182,11.136363636363637,1.0,17.132323609664493,43.95174205388523,3.3425755643954376,28.079594017094017,7.136244326083898
arcuate,NR,malt,25198.191489361703,5.23404255319149,7.872340425531915,1.1914893617021276,20.351932465407543,30.77591789754091,4.550407464535932,17.50565558084355,12.917384717534834
arcuate,NR,water,22318.666666666668,4.589743589743589,9.35897435897436,1.1538461538461537,21.157142526846556,43.54981540380605,5.311823459930217,26.97136989994133,15.288217860932543
arcuate,PR,casein,21436.536585365855,3.4634146341463414,5.926829268292683,0.9512195121951219,16.839674193485465,27.826043681138135,4.6048580567360196,24.600694444444443,18.737080414711993
arcuate,PR,malt,24706.277777777777,3.9444444444444446,5.222222222222222,0.5555555555555556,16.02614863749112,20.806256593570353,2.1800402167707835,16.352298495155637,12.270180799592564
arcuate,PR,water,21843.048780487807,4.0,4.878048780487805,0.6341463414634146,18.19775713352531,21.903633760930234,2.68678841141586,12.017231134878195,11.013207471540804
caudateput,NR,casein,1261043.4266666668,88.38666666666667,38.57333333333333,5.053333333333334,7.060266973104322,3.106723462119115,0.39986498557577044,6.110007686189627,14.103722983618972
caudateput,NR,malt,1234135.2522522523,50.666666666666664,27.7027027027027,1.8468468468468469,4.058273439951623,2.225285950038578,0.14491372561592983,8.239862760885114,6.681397862711737
caudateput,NR,water,1247696.3823529412,87.5,38.338235294117645,4.5588235294117645,7.251510177158404,3.148326126985336,0.3874342682425035,7.541570146272564,11.358897520708416
caudateput,PR,casein,1203693.2727272727,83.42045454545455,35.51136363636363,3.5,7.232153092225586,3.0742664634411025,0.3366392128277684,7.241891347235892,10.213756756368005
caudateput,PR,malt,1292998.0652173914,72.6195652173913,22.67391304347826,2.739130434782609,5.628694651146548,1.786594769896353,0.22226485352642072,5.342946168353078,11.47134091363367
caudateput,PR,water,1214810.8461538462,55.967032967032964,18.75824175824176,1.6703296703296704,4.746902521943846,1.547401166315943,0.14279871762935262,9.20965732842862,9.742068881735566
lathypo,NR,casein,199536.07142857142,54.23809523809524,35.5,10.380952380952381,27.700846457507208,17.487012014050137,5.078656809758231,20.27055112282397,31.757247499047523
lathypo,NR,malt,217703.5625,44.671875,32.859375,9.03125,20.588687937970555,14.668261627936781,4.054714052138466,18.088708930784744,23.150685696148454
lathypo,NR,water,196589.13636363635,58.02272727272727,46.70454545454545,13.75,29.019454476557424,22.48613049388227,6.66679311586407,23.86912096496144,31.01135219365812
lathypo,PR,casein,186936.10416666666,47.645833333333336,36.1875,9.458333333333334,26.229558230540622,19.287528369826397,5.01106971340966,21.30069941036408,27.403834297001843
lathypo,PR,malt,208646.7037037037,44.44444444444444,25.296296296296298,6.87037037037037,22.696795873302015,12.810245039122718,3.4910978188191,13.121692771985193,23.942928291711894
lathypo,PR,water,199076.43396226416,46.41509433962264,24.07547169811321,6.962264150943396,24.131557927810324,12.130979249430286,3.5831502451266224,15.170394875055466,30.115511017029235
naccore,NR,casein,254674.0303030303,24.272727272727273,13.363636363636363,1.6363636363636365,9.490835520014112,5.216385858684449,0.6308146344231235,6.441872876207543,11.653064334243181
naccore,NR,malt,247192.5918367347,19.79591836734694,8.448979591836734,0.9795918367346939,7.919623334278962,3.461631220251739,0.3899291310837403,7.485787139365224,13.13453270085923
naccore,NR,water,246209.42424242425,36.90909090909091,16.939393939393938,2.1515151515151514,15.147621170398148,7.053884153872673,0.9277801615693247,8.76355770653547,11.782867679064323
naccore,PR,casein,222977.77777777778,14.6,9.511111111111111,0.6222222222222222,6.600490596669824,4.274106507174362,0.27380400509226055,6.5378487715277265,7.639843728553406
naccore,PR,malt,249846.2340425532,17.829787234042552,5.8936170212765955,0.46808510638297873,6.762760819318674,2.3524915911656303,0.18231391668126215,3.615079436964351,7.607097394331436
naccore,PR,water,251345.8510638298,15.851063829787234,6.191489361702128,0.5531914893617021,6.426024629335185,2.4536523545806457,0.2267777363149718,4.989656151070703,9.495482421618785
nacshell,NR,casein,143796.0,27.205882352941178,13.5,2.0,18.36649075516153,12.150236854572517,1.5301985921873587,8.232049429693475,12.461246692789803
nacshell,NR,malt,137600.3725490196,18.15686274509804,7.745098039215686,0.8235294117647058,13.924293662744457,5.663222567851899,0.61773623627416,3.940679298173379,11.217755283931753
nacshell,NR,water,119394.75757575757,22.03030303030303,12.242424242424242,2.0303030303030303,17.930789883392354,10.326551571872669,1.668899330195753,11.219534173222295,14.11528954309703
nacshell,PR,casein,132270.6511627907,19.767441860465116,9.511627906976743,1.1395348837209303,14.308020087409906,7.036570000994507,0.828109444658226,7.0422994722224646,12.827306729805846
nacshell,PR,malt,146344.2340425532,21.95744680851064,7.702127659574468,1.127659574468085,14.744955993881751,5.424196606490956,0.8340485094287833,9.274842203400544,14.993301615642041
nacshell,PR,water,119510.78723404255,15.595744680851064,5.76595744680851,0.9148936170212766,13.333659624467087,4.767392065291174,0.7750867037134364,7.002250180341986,16.478066976187275
piriform,NR,casein,207346.29411764705,71.84313725490196,43.84313725490196,7.784313725490196,34.154671056465766,21.327614607255278,3.759381450297781,11.368683903528648,18.712392565646486
