region,diet,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
arcuate,NR,24127.50925925926,4.888888888888889,9.074074074074074,1.1388888888888888,19.975919264550864,38.02149020293951,4.57247761427324,22.88719338889118,12.56744670656495
arcuate,PR,22575.330508474577,3.7966101694915255,5.3474576271186445,0.7203389830508474,17.069191415449268,23.517077229999316,3.161951120241454,17.592259985877007,14.039589727275924
caudateput,NR,1245711.1181102362,71.66535433070867,33.75984251968504,3.5196850393700787,5.799571129386716,2.732666050189837,0.28512136890567413,7.420799407541972,10.138885454853305
caudateput,PR,1237743.9741697416,70.5350553505535,25.527675276752767,2.6273062730627306,5.822055060244794,2.1029059432731536,0.2303677935116181,7.2509670360621294,10.494051515402813
lathypo,NR,206423.1,51.266666666666666,37.66,10.793333333333333,25.053117174759635,17.750753270059196,5.107627882964843,20.41103308009772,27.823818051669857
lathypo,PR,198651.0064516129,46.10967741935484,28.251612903225805,7.703225806451613,24.229802049510223,14.459247553674128,3.9663133284633605,16.24474279566116,27.162344386604815
naccore,NR,249057.31304347827,25.991304347826087,12.295652173913043,1.5043478260869565,10.444614036202381,4.995989914841045,0.6133926581813397,7.5534823852635995,12.321546598097827
naccore,PR,241654.87769784173,16.115107913669064,7.16546762589928,0.5467625899280576,6.596275890785765,2.980891461407339,0.22593438165219074,4.992759739931418,8.242167223188323
nacshell,NR,134294.15254237287,21.847457627118644,10.661016949152541,1.5,16.32470956463904,8.836513609217885,1.1746184583119679,7.178542037260974,12.39636501430464
nacshell,PR,132721.34306569342,19.087591240875913,7.605839416058394,1.0583941605839415,14.119520429543222,5.675130355324929,0.8115950209254729,7.800304351288698,14.80508727230446
piriform,NR,199704.57142857142,52.97278911564626,29.6734693877551,4.761904761904762,26.06660393332678,14.78113380709006,2.352231179156374,11.00708260620442,15.072536078324333
piriform,PR,186288.4303030303,46.6,19.8969696969697,3.109090909090909,24.30783284343563,10.66214933351329,1.6321801442349635,7.479596054252096,14.346866233117833
pvhypo,NR,25629.226666666666,10.233333333333333,24.506666666666668,3.5,39.60529972357061,92.92470547336754,13.860129459791795,33.591870067418746,17.87359950762641
pvhypo,PR,24722.810650887575,11.1301775147929,15.550295857988166,2.863905325443787,44.81906411769599,63.05878341728315,11.82030847195506,24.956028245946538,20.794397737288772
pvthal,NR,46469.2238267148,44.24909747292419,38.09386281588448,10.772563176895307,94.93300689110161,83.67011744597187,23.21818930950645,24.97701963119698,27.22486329969074
pvthal,PR,43351.477966101695,44.152542372881356,30.332203389830507,9.108474576271187,101.98159651090775,70.1272383443004,20.690043196749208,19.857614363868514,28.873705350219694
